year,muq_weighted,country
2005,0.19179889988607185,Netherlands
2006,0.27942237703318296,Netherlands
2007,0.24555013078024357,Netherlands
2008,0.19969622716803095,Netherlands
2009,-0.151030119930144,Netherlands
2010,0.10278886755907966,Netherlands
2011,0.09935511995900645,Netherlands
2012,0.018133825836820022,Netherlands
2013,0.0605559390032516,Netherlands
2014,0.11458068485910766,Netherlands
2015,0.13478441764703544,Netherlands
2016,0.1578055169691971,Netherlands
2017,0.2068388414432754,Netherlands
2018,0.23182168346395512,Netherlands
2019,0.245465549071878,Netherlands
2020,-0.07277419657594314,Netherlands
2021,0.40567272562043344,Netherlands
2022,0.4966067517721148,Netherlands
2023,0.28593504086048344,Netherlands
2009,-0.28625980881222624,Norway
2010,0.684191189501289,Norway
2011,0.4549610931093003,Norway
2012,0.43296146807579633,Norway
2013,-0.03463239478644405,Norway
2014,-0.19322926507319735,Norway
2015,-0.20260605261169176,Norway
2016,-0.11435285615976021,Norway
2017,0.2407598173587031,Norway
2018,0.18475964405967515,Norway
2019,-0.019432267644399308,Norway
2020,-0.3570529632927597,Norway
2021,0.9828074693374256,Norway
2001,0.598534158574442,Poland
2002,-0.06731582216327885,Poland
2003,-0.5105585866819486,Poland
2004,0.3599888070179167,Poland
2005,0.8441295306284162,Poland
2006,0.5019630697263254,Poland
2007,0.544494780832854,Poland
2008,0.6220244953270482,Poland
2009,-0.6689485760081483,Poland
2010,0.6077723995635451,Poland
2011,0.2408958732093415,Poland
2012,0.1078373700905929,Poland
2013,0.034311519638100064,Poland
2014,0.2269498825428316,Poland
2015,0.27155234838116377,Poland
2016,-0.06152647756965658,Poland
2017,0.5052396162751541,Poland
2018,0.3690210039556644,Poland
2019,0.33441095227171447,Poland
2020,-0.0674213101574606,Poland
2021,0.5185355691075503,Poland
2022,0.7237150794582045,Poland
2023,0.6702461108708068,Poland
2001,0.19692342273561095,Portugal
2002,0.1758738067499181,Portugal
2003,0.09803816929792084,Portugal
2004,0.1695957476994838,Portugal
2005,0.16893819511075,Portugal
2006,0.20499590550270813,Portugal
2007,0.23470719305658,Portugal
2008,0.08467921601433333,Portugal
2009,-0.1005241371733708,Portugal
2010,0.12090656954506651,Portugal
2011,-0.11142162247328917,Portugal
2012,-0.2818779288710643,Portugal
2013,0.08219253410455322,Portugal
2014,0.09787916202724364,Portugal
2015,0.22277772470968624,Portugal
2016,0.23819251709011174,Portugal
2017,0.2732767349511808,Portugal
2018,0.26302683077526834,Portugal
2019,0.24140293626743944,Portugal
2020,-0.3160874152523723,Portugal
2021,0.34007773078854975,Portugal
2022,0.5383194006597452,Portugal
2023,0.47643448386424503,Portugal
2001,0.4794754669407406,Romania
2002,0.33985489723376455,Romania
2003,0.20760379012545013,Romania
2004,0.6901008139045987,Romania
2005,1.0169061030349398,Romania
2006,0.6953274560067211,Romania
2007,0.674296988605704,Romania
2008,0.34683607930312177,Romania
2009,-0.6001021237616431,Romania
2010,0.09367504198916816,Romania
2011,0.27604777447203405,Romania
2012,0.02071565167920109,Romania
2013,0.10401158723157018,Romania
2014,0.20494072836356,Romania
2015,0.24432332923152664,Romania
2016,0.18679911386991865,Romania
2017,0.4432547807646586,Romania
2018,0.42318501134258446,Romania
2019,0.35730167339592506,Romania
2020,-0.06789097383571131,Romania
2021,0.35812325569629255,Romania
2022,0.564070446972102,Romania
2023,0.47791210781204146,Romania
2001,0.211347435666768,Slovakia
2002,0.3248053559507633,Slovakia
2003,0.4784521240348112,Slovakia
2004,0.5490223991670207,Slovakia
2005,0.43413759560354015,Slovakia
2006,0.5282509400349829,Slovakia
2007,0.728113853265738,Slovakia
2008,0.5734882174367893,Slovakia
2009,-0.14462674609610646,Slovakia
2010,0.31109467024147264,Slovakia
2011,0.1692686885621191,Slovakia
2012,0.13518437828880037,Slovakia
2013,0.0578514766081919,Slovakia
2014,0.11840115542326578,Slovakia
2015,0.1951127332084411,Slovakia
2016,0.07043592974221985,Slovakia
2017,0.18472878126752335,Slovakia
2018,0.27585425535032015,Slovakia
2019,0.20838178767729473,Slovakia
2020,-0.012161851247834234,Slovakia
2021,0.37913834712678757,Slovakia
2022,0.3503997611311556,Slovakia
2023,0.5200428314432569,Slovakia
2001,0.21086743058072957,Slovenia
2002,0.27078078193021704,Slovenia
2003,0.20167418934578954,Slovenia
2004,0.2053695364894181,Slovenia
2005,0.1846670560039248,Slovenia
2006,0.27318333031880127,Slovenia
2007,0.36190047345170745,Slovenia
2008,0.251212274522545,Slovenia
2009,-0.21851764793677667,Slovenia
2010,0.028812298481356458,Slovenia
2011,0.09900848833081047,Slovenia
2012,-0.1232136548745905,Slovenia
2013,0.015066456934939047,Slovenia
2014,0.1697457333771694,Slovenia
2015,0.16793829831729054,Slovenia
2016,0.21355059198160997,Slovenia
2017,0.3313848729442009,Slovenia
2018,0.31951554672889326,Slovenia
2019,0.28313565980811495,Slovenia
2020,-0.15945079915090454,Slovenia
2021,0.5036471962256105,Slovenia
2022,0.38771012579861663,Slovenia
2023,0.5182604786898103,Slovenia
1994,0.2809783883967398,South Africa
1995,0.696379784100984,South Africa
1996,-0.3441300860075115,South Africa
1997,0.21480240322320396,South Africa
1998,-0.6539310743944509,South Africa
1999,-0.07075150305239487,South Africa
2000,0.007792267184599196,South Africa
2001,-0.6985776533674816,South Africa
2002,-0.36201405399884956,South Africa
2003,2.4338964501570453,South Africa
2004,1.5678221613794592,South Africa
2005,0.745987273765823,South Africa
2006,0.29733849033122844,South Africa
2007,0.4801075708691818,South Africa
2008,-0.25355796399510083,South Africa
2009,0.22233252834185666,South Africa
2010,1.2394104606353085,South Africa
2011,0.5176243725172976,South Africa
2012,-0.3161324174243632,South Africa
2013,-0.4656299019412789,South Africa
2014,-0.29204243957577714,South Africa
2015,-0.5715320703688789,South Africa
2016,-0.4225087358209014,South Africa
2017,0.9580965670227232,South Africa
2018,0.38307193374938453,South Africa
2019,-0.27216953450621667,South Africa
2020,-0.6985776533674815,South Africa
2021,1.5389252280070198,South Africa
2022,-0.22418702039939578,South Africa
2023,-0.4774135932752771,South Africa
2001,0.2930544343406138,Spain
2002,0.24873025437956267,Spain
2003,0.24338478140983622,Spain
2004,0.24170134825756856,Spain
