city,Q_w1,K_100m,V_100m,house_price,gdp_per_capita,gdp_100m,pop_10k,per_capita_area_m2,fai_100m,city_tier,region4,province,fai_gdp_ratio,OCR_w1,Kstar_100m,ocr_cluster,ocr_color,Q_w2_extended,OCR_w2_extended
泉州市,1.4738736815519944,16941.768272344078,24897.90734999452,8098.25,75102.5,6392.17165,833.357408616188,36.864000000000004,3577.1274,二线,东部,福建省,0.5594330083163574,0.46101636198934226,36702.13335042745,0,绿色(适度),1.387476430098372,0.473302277310256
达州市,1.4724851783956385,6803.458946997439,9971.766695222019,4801.5,25131.5,1398.9229500000001,563.2302752293579,36.864000000000004,1339.6131,三线及以下,西部,四川省,0.9556470576447647,1.760996059458434,3857.5870573126667,2,橙色(中度过度),1.1973715372169995,1.852817002237583
葫芦岛市,1.4724470866136286,3277.3158379922565,4825.015793769653,5266.0,26761.5,683.75955,248.81956124314445,36.864000000000004,184.23714999999999,三线及以下,东北,辽宁省,0.269728498205942,1.7939868950379516,1839.7930581445726,2,橙色(中度过度),1.3668234814908249,1.741245253894073
莆田市,1.4627428578992565,7686.764049486731,11144.417957279342,9916.0,60593.0,1739.29495,304.8665663474692,36.864000000000004,1835.83765,三线及以下,东部,福建省,1.0551322215566201,0.8984627493078066,8542.624966539459,0,绿色(适度),1.1057677281083014,1.1117232667596852
南充市,1.4583595532637117,7071.469595478854,10258.221976287145,4811.5,24876.0,1583.801,578.2822307157749,36.864000000000004,1440.14435,三线及以下,西部,四川省,0.9086294684680616,1.7211190281824789,4104.917997259186,2,橙色(中度过度),1.1292393688726068,1.7539327127650495
兰州市,1.456242602853124,9343.040968803027,13566.57894292455,8704.25,59089.5,2180.1119,422.54236526946113,36.864000000000004,1897.3533499999999,二线,西部,甘肃省,0.8699394662518164,0.8367374143437102,11154.197571158773,0,绿色(适度),1.30340679316476,1.0969919668614208
邵阳市,1.4102258903413012,7063.955089111956,9919.228051757029,4078.5,20071.5,1458.6282500000002,659.3418867924528,36.864000000000004,1575.1203,三线及以下,中部,湖南省,1.0807019648459217,2.1379303301635666,3302.2060614725133,2,橙色(中度过度),1.021557556554173,2.2289403232398324
惠州市,1.3984594847030547,10276.539870989205,14472.760462811457,7125.75,68918.0,3276.0988500000003,548.9553015075377,36.864000000000004,1951.8181,二线,东部,广东省,0.595688464012726,0.5427180476701206,18936.555392012924,0,绿色(适度),1.4183307756246581,0.6976934973373419
漳州市,1.3972141219877376,11652.365889392677,16256.774087218322,9047.75,58883.0,2946.3611499999997,486.7274809160306,36.864000000000004,2672.0038000000004,三线及以下,东部,福建省,0.9070149847031193,0.837062765149465,13928.61836294247,0,绿色(适度),1.143708626040656,0.893937827479754
怀化市,1.3869741384790029,4634.7375102498045,6397.95188682769,3794.5,27287.5,1336.7923500000002,457.1349376797699,36.864000000000004,1044.94105,三线及以下,中部,湖南省,0.7821317702564262,1.254938105576982,3690.08712497986,1,黄色(轻度过度),1.2084970331262122,1.6855705129406198
郑州市,1.3803383086402832,31869.22957670488,44360.60058254251,10398.5,80646.5,7712.7438,1152.5445510317904,36.864000000000004,6643.32345,新一线,中部,河南省,0.8612779196503104,0.6033935009290238,52816.513447832505,0,绿色(适度),1.1360567996252915,0.7900595596020452
三亚市,1.3800514519967908,3491.7684875043665,4793.151796842985,14466.0,60879.5,455.68845,89.85910447761194,36.864000000000004,744.5270499999999,三线及以下,东部,海南省,1.6332664456523034,1.5614921919991942,2233.599161494295,1,黄色(轻度过度),1.7983469380433765,1.9275507145541064
绥化市,1.3787344034274986,3748.362042657829,5134.524278604058,3551.0,23602.0,1294.2599,392.3072463768116,36.864000000000004,733.7570499999999,三线及以下,东北,黑龙江省,0.5666115583238993,1.341047366146381,2790.6874472772693,1,黄色(轻度过度),1.1427152840883303,2.104823220725081
邢台市,1.3569384898107875,10485.64598256085,14160.386801778139,5515.75,25647.0,1870.2391499999999,696.5179825109307,36.864000000000004,1925.9007499999998,三线及以下,东部,河北省,1.0300229991316,2.045341215372849,5139.896521168148,2,橙色(中度过度),1.3457966159811023,2.6327888730828777
张家口市,1.3393350812927363,8697.27255180162,11737.77934205261,7577.0,31991.0,1414.7676999999999,419.1463921993499,36.864000000000004,1592.7510499999999,三线及以下,东部,河北省,1.1262946204663635,1.9976680866048484,4352.381010524814,2,橙色(中度过度),1.086761848446581,2.6988449714708658
