country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
BIH,Bosnia and Herzegovina,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,2.9957423369592173,49.4650440037758,3.056616019519255,0.22133053127674662,19.638460870418818,,,,,True,False,6122.375413523525
SVN,Slovenia,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.795794460889092,55.4523277282715,3.0487993036669203,0.19422443795847738,25.58247674780401,,,,,True,False,25814.168716757205
VNM,Viet Nam,East Asia & Pacific,East Asia & Pacific,Lower middle income,2019.0,2.7493185829356,34.6239134999511,2.9867930051128018,0.3024087229445694,23.55229412383905,,,,,True,False,3440.900253754336
TGO,Togo,Sub-Saharan Africa,Africa,Low income,2019.0,2.7384515455442284,41.445731197295,2.9832083545826173,0.2023244995641053,11.781397541829032,1984.0,26.2021681670453,38.5595920968676,1.349575757980347,True,True,826.2552090197976
GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa,Upper middle income,2019.0,2.410671480299263,70.1175419547293,2.9765858829692062,0.2649000626729646,19.353901731679354,,,,,True,False,6804.149230738898
EST,Estonia,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.734578544163834,69.5787397662154,2.959141283196146,0.2554968520179839,19.8070636614858,,,,,True,False,24021.250141330605
GRC,Greece,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.519366766645913,78.1888100466875,2.957247883379187,0.12261555977154928,11.895749200247334,,,,,True,False,19335.36020029684
COL,Colombia,Latin America & Caribbean,Latin America,Upper middle income,2019.0,2.244522785439624,77.4595528518377,2.952883772213285,0.21881712497169023,24.353635596048644,,,,,True,False,6472.54544924705
SEN,Senegal,Sub-Saharan Africa,Africa,Lower middle income,2019.0,2.6175854840327886,49.9443321273477,2.9382523334154067,0.2366329176837688,14.501871983957486,,,,,True,False,1431.1812893215904
URY,Uruguay,Latin America & Caribbean,Latin America,High income,2019.0,2.4125924305355353,95.3479309082031,2.926069065135642,0.18583921271115073,16.60850521084712,,,,,True,False,18315.73169800283
COG,"Congo, Rep.",Sub-Saharan Africa,Africa,Lower middle income,2019.0,2.6830154445215,63.5176376123385,2.8995804196509716,0.4576360766266955,10.402027472285306,,,,,True,False,2488.4246672491536
MEX,Mexico,Latin America & Caribbean,Latin America,Upper middle income,2019.0,2.533333976754773,78.355984332992,2.881643851689993,0.2282057551461925,30.52831319462578,,,,,True,False,10369.555358527121
SVK,Slovak Republic,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.5063508422101504,53.3666558664583,2.861716353112,0.21948882385956395,21.325307601360443,,,,,True,False,19406.058968358204
BFA,Burkina Faso,Sub-Saharan Africa,Africa,Low income,2019.0,2.806113024252365,26.1187254401157,2.8172425345253935,0.20480374197528234,18.653201981829017,,,,,True,False,764.8530777749468
ITA,Italy,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.505873061292711,69.5050010681153,2.8002926963748678,0.18083675697945414,28.883245064117016,,,,,True,False,33812.78872486804
CHL,Chile,Latin America & Caribbean,Latin America,High income,2019.0,2.384301148929449,88.1273685623538,2.7679330683879853,0.24576745038075898,18.462865010182586,,,,,True,False,14495.716721686986
GAB,Gabon,Sub-Saharan Africa,Africa,Upper middle income,2019.0,2.433586933395993,89.9031850170394,2.7662901049781423,0.27213191437382417,11.427651383313366,,,,,True,False,7441.17864722808
PAN,Panama,Latin America & Caribbean,Latin America,High income,2019.0,2.722843830750356,65.752985396379,2.726882978440218,0.3661027821448899,22.719108076387357,,,,,True,False,16477.90662681113
BLR,Belarus,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,2.524979682089971,77.4550771852757,2.707522968182687,0.31385462654115226,24.388263725721377,,,,,True,False,6837.773396456353
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",MENA,High income,2019.0,2.419886701047217,94.9332032524644,2.667718519143531,0.19558918840897627,6.946030539638157,,,,,True,False,32421.91797522623
ESP,Spain,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.3806698654736267,79.6349761108307,2.654661660500231,0.19173589871965246,17.474995458797068,,,,,True,False,29786.524568900655
MDG,Madagascar,Sub-Saharan Africa,Africa,Low income,2019.0,2.610625523474204,30.3046972370204,2.590070270046362,0.21032658630390078,15.209228095359236,,,,,True,False,499.81883762253295
RWA,Rwanda,Sub-Saharan Africa,Africa,Low income,2019.0,2.354467424449826,22.9711026997362,2.5394603430308527,0.23302310884476002,15.321107434525375,,,,,True,True,810.0514121373552
POL,Poland,Europe & Central Asia,Europe & Central Asia,High income,2019.0,2.261759240603518,59.9626184068963,2.5061225526870023,0.19218151273322676,16.53954506929608,,,,,True,False,15874.522053125373
MAC,"Macao SAR, China",East Asia & Pacific,East Asia & Pacific,High income,2019.0,2.529991638298188,100.0,2.505949899981199,0.16795093213569118,10.832320186249483,,,,,True,False,81882.6964523869
ARG,Argentina,Latin America & Caribbean,Latin America,Upper middle income,2019.0,1.9520461717225164,91.8567844513802,2.504704480928645,0.15646614376669343,18.835563194509838,2002.0,89.5616701920513,54.7764456459146,2.709059953689575,True,True,9955.974786804285
CHN,China,East Asia & Pacific,East Asia & Pacific,Upper middle income,2019.0,2.318017892709783,62.7099151611328,2.4917984682308707,0.42711163728050233,18.773898176953537,,,,,True,True,10342.90095243343
UGA,Uganda,Sub-Saharan Africa,Africa,Low income,2019.0,2.162597756067759,27.8369781799403,2.4344418091742677,0.25734806134043764,15.75570982097818,,,,,True,False,822.1711500363573
NAM,Namibia,Sub-Saharan Africa,Africa,Upper middle income,2019.0,2.2815760971042756,48.0019807724839,2.3918297726197335,0.24264673565301126,8.915451234959386,1984.0,25.9840178621838,54.5191933790623,1.8422486782073977,True,True,4731.921031883113
SGP,Singapore,East Asia & Pacific,East Asia & Pacific,High income,2019.0,2.2736538751062683,100.0,2.380405824684023,0.2565910780871476,19.393658270123105,,,,,True,False,65952.03789592937
KAZ,Kazakhstan,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,1.7458274185755989,59.0832474269546,2.3745499881567844,0.22397589043308647,24.058197037877655,,,,,True,False,9457.126146571381
