geo,gdp_value,population,country_code,country,nuts_level,gdp_per_capita
DEA29,8372.74,261239.0,DE,Germany,5,32050.115028766762
DEA2A,11712.33,273634.0,DE,Germany,5,42802.90460980726
DEA2B,9155.09,283037.0,DE,Germany,5,32345.91237188071
DEA2C,20515.33,602933.0,DE,Germany,5,34025.88679007452
DEA2D,26080.78,580359.0,DE,Germany,5,44939.046348897835
DEA31,3446.34,118327.0,DE,Germany,5,29125.55883272626
DEA32,10279.45,264644.0,DE,Germany,5,38842.55830474146
DEA33,21784.21,305222.0,DE,Germany,5,71371.69011408089
DEA34,17870.07,377154.0,DE,Germany,5,47381.36145977505
DEA35,8253.3,224745.0,DE,Germany,5,36722.95267970366
DEA36,19026.18,621933.0,DE,Germany,5,30592.009107090315
DEA37,18457.76,447192.0,DE,Germany,5,41274.79919139877
DEA38,11163.29,281090.0,DE,Germany,5,39714.29079654203
DEA41,18053.67,331385.0,DE,Germany,5,54479.442340480105
DEA42,21463.33,361931.0,DE,Germany,5,59302.27032224374
DEA43,10155.19,254949.0,DE,Germany,5,39832.24095799552
DEA44,4697.48,138943.0,DE,Germany,5,33808.684136660355
DEA45,12891.11,348275.0,DE,Germany,5,37014.169837054054
DEA46,14853.99,320648.0,DE,Germany,5,46324.91080561862
DEA47,14127.04,313921.0,DE,Germany,5,45001.89538132205
DEA51,15966.75,356209.0,DE,Germany,5,44824.10607255853
DEA52,29577.58,599370.0,DE,Germany,5,49347.78183759614
DEA53,7510.25,189957.0,DE,Germany,5,39536.57933111178
DEA54,6603.1,179479.0,DE,Germany,5,36790.37659001889
DEA55,5227.48,155603.0,DE,Germany,5,33594.98210188749
DEA56,11341.63,315325.0,DE,Germany,5,35968.064695155794
DEA57,11716.06,261006.0,DE,Germany,5,44888.08686390351
DEA58,17193.59,410629.0,DE,Germany,5,41871.34858960278
DEA59,7393.44,132519.0,DE,Germany,5,55791.54687252394
DEA5A,12639.42,274634.0,DE,Germany,5,46022.77940823059
DEA5B,13447.49,299749.0,DE,Germany,5,44862.501626360725
DEA5C,14639.73,395619.0,DE,Germany,5,37004.618079515894
DEB11,10245.41,113294.0,DE,Germany,5,90432.06171553656
DEB12,4316.82,127881.0,DE,Germany,5,33756.53928261431
DEB13,4310.58,131657.0,DE,Germany,5,32740.986047076873
DEB14,5972.49,163979.0,DE,Germany,5,36422.285780496284
DEB15,2891.6,82350.0,DE,Germany,5,35113.53976927747
DEB17,8333.99,216056.0,DE,Germany,5,38573.28655533751
DEB18,7634.08,187905.0,DE,Germany,5,40627.33828264283
