mun_code,mun_name,gdp_1000brl,year,population,uf_code,uf,regiao,gdp_pc_brl,ln_pop,ln_gdp_pc
2516607,Tavares - PB,167333,2023,14473,25,PB,Nordeste,11561.735645685068,9.580040123637605,9.355456273316433
2516706,Teixeira - PB,222479,2023,15129,25,PB,Nordeste,14705.466322955912,9.624368710744834,9.595974562349
2516755,Tenório - PB,40231,2023,3082,25,PB,Nordeste,13053.536664503568,8.033334015880062,9.476814384808815
2516805,Triunfo - PB,121796,2023,10315,25,PB,Nordeste,11807.658749394086,9.241354425505353,9.376503646472955
2516904,Uiraúna - PB,245510,2023,15431,25,PB,Nordeste,15910.180804873307,9.644133752071205,9.674714485495626
2517001,Umbuzeiro - PB,118557,2023,9274,25,PB,Nordeste,12783.804183739487,9.134970064951407,9.455934350596777
2517100,Várzea - PB,46408,2023,2777,25,PB,Nordeste,16711.559236586243,7.9291264873067995,9.723855928821237
2517209,Vieirópolis - PB,59242,2023,4967,25,PB,Nordeste,11927.118985303,8.51057131510735,9.386569992658949
2517407,Zabelê - PB,35337,2023,2323,25,PB,Nordeste,15211.795092552733,7.750614732770409,9.629826398838622
2600054,Abreu e Lima - PE,2129775,2023,104248,26,PE,Nordeste,20429.888343181643,11.554527954824742,9.924754222460543
2600104,Afogados da Ingazeira - PE,651001,2023,42672,26,PE,Nordeste,15255.928946381702,10.661298246421795,9.632723489848178
2600203,Afrânio - PE,271668,2023,19409,26,PE,Nordeste,13997.011695605132,9.873492155000728,9.546599135499717
2600302,Agrestina - PE,368076,2023,24680,26,PE,Nordeste,14913.938411669367,10.113748478019325,9.610051518530332
2600401,Água Preta - PE,263642,2023,26981,26,PE,Nordeste,9771.394685148809,10.202888193567093,9.187214486655188
2600500,Águas Belas - PE,489637,2023,43822,26,PE,Nordeste,11173.314773401487,10.687891253367626,9.321283604834777
2600609,Alagoinha - PE,199751,2023,14460,26,PE,Nordeste,13814.038727524205,9.579141495712756,9.533440653143193
2600708,Aliança - PE,472449,2023,37349,26,PE,Nordeste,12649.575624514713,10.528061416440826,9.445378946123745
2600807,Altinho - PE,302022,2023,21134,26,PE,Nordeste,14290.81101542538,9.958638397000977,9.567372023367023
2600906,Amaraji - PE,307792,2023,18335,26,PE,Nordeste,16787.12844286883,9.816567080505427,9.728367707622674
2601003,Angelim - PE,186927,2023,10591,26,PE,Nordeste,17649.60815786989,9.267759862843668,9.778468861427745
2601052,Araçoiaba - PE,203113,2023,19996,26,PE,Nordeste,10157.681536307262,9.903287532533462,9.225985499846628
2601102,Araripina - PE,1777713,2023,90504,26,PE,Nordeste,19642.369398037656,11.413149327606302,9.885444216079808
2601201,Arcoverde - PE,1503621,2023,82487,26,PE,Nordeste,18228.5814734443,11.320395984148833,9.810746051888382
2601300,Barra de Guabiraba - PE,197017,2023,12601,26,PE,Nordeste,15635.028965955084,9.441531454869693,9.657269122525664
2601409,Barreiros - PE,645437,2023,42083,26,PE,Nordeste,15337.238314758928,10.647399137646048,9.638039027081204
2601508,Belém de Maria - PE,110733,2023,10798,26,PE,Nordeste,10254.954621226152,9.287116210778231,9.235516245457797
2601607,Belém do São Francisco - PE,715390,2023,18648,26,PE,Nordeste,38362.827112827115,9.833494180715594,10.554844225781885
2601706,Belo Jardim - PE,3429628,2023,84033,26,PE,Nordeste,40812.87113395928,11.338964857820145,10.616752779611971
2601805,Betânia - PE,125498,2023,11961,26,PE,Nordeste,10492.266532898588,9.389406636049465,9.258393744104685
2601904,Bezerros - PE,1089685,2023,65007,26,PE,Nordeste,16762.57941452459,11.082250235387066,9.726904265208814
2602001,Bodocó - PE,388247,2023,36145,26,PE,Nordeste,10741.375017291464,10.495293905434398,9.28185838754878
2602100,Bom Conselho - PE,801671,2023,46202,26,PE,Nordeste,17351.43500281373,10.740778366176134,9.761430491050689
2602209,Bom Jardim - PE,419042,2023,39289,26,PE,Nordeste,10665.631601720583,10.578699860459706,9.274781851066631
2602308,Bonito - PE,736191,2023,39212,26,PE,Nordeste,18774.63531571968,10.576738101381617,9.840262052513978
2602407,Brejão - PE,226948,2023,9417,26,PE,Nordeste,24099.8194754168,9.150271845510064,10.089959628804085
2602506,Brejinho - PE,95683,2023,8033,26,PE,Nordeste,11911.24113033736,8.991313336173812,9.385237866016292
2602605,Brejo da Madre de Deus - PE,530035,2023,51308,26,PE,Nordeste,10330.45528962345,10.84560196441974,9.242851635646154
2602704,Buenos Aires - PE,163217,2023,13276,26,PE,Nordeste,12294.139801144924,9.493713172839865,9.416877988896111
2602803,Buíque - PE,647063,2023,53489,26,PE,Nordeste,12097.12277290658,10.887231304267347,9.400722915945842
2602902,Cabo de Santo Agostinho - PE,15897620,2023,218049,26,PE,Nordeste,72908.47470064068,12.292475087156292,11.196960162277716
2603009,Cabrobó - PE,536175,2023,31762,26,PE,Nordeste,16881.02134626283,10.366025885670592,9.733945272614708
2603108,Cachoeirinha - PE,290338,2023,20673,26,PE,Nordeste,14044.309002080008,9.936583780025318,9.549972539472932
2603207,Caetés - PE,503212,2023,30571,26,PE,Nordeste,16460.4363612574,10.327807126158824,9.708714984284125
2603306,Calçado - PE,134331,2023,11453,26,PE,Nordeste,11728.891993364185,9.346006983397716,9.369810477967228
2603405,Calumbi - PE,62249,2023,5354,26,PE,Nordeste,11626.634292118042,8.585599224080298,9.361053804842733
2603454,Camaragibe - PE,2436552,2023,156112,26,PE,Nordeste,15607.717536127908,11.958328977347731,9.655520784761427
2603504,Camocim de São Félix - PE,209246,2023,18018,26,PE,Nordeste,11613.164613164614,9.799126537211386,9.35989461404968
2603603,Camutanga - PE,427495,2023,7962,26,PE,Nordeste,53691.91158000502,8.982435503560263,10.891017646805995
2603702,Canhotinho - PE,364996,2023,25103,26,PE,Nordeste,14539.935465880571,10.130742639890052,9.584654312692555
2603801,Capoeiras - PE,266090,2023,18854,26,PE,Nordeste,14113.18553092182,9.844480371956095,9.554864783428485
2603900,Carnaíba - PE,212891,2023,19533,26,PE,Nordeste,10899.042645778938,9.879860621904971,9.296430233697414
2603926,Carnaubeira da Penha - PE,107059,2023,12712,26,PE,Nordeste,8421.884833228445,9.450301708216552,9.038588934112637
2604007,Carpina - PE,1937470,2023,83482,26,PE,Nordeste,23208.236506073164,11.332386318738365,10.052262516462568
2604106,Caruaru - PE,11238434,2023,405408,26,PE,Nordeste,27721.293117057383,12.912649246401779,10.229956101460292
2604155,Casinhas - PE,125631,2023,13468,26,PE,Nordeste,9328.111078111078,9.508071780280964,9.14078781655015
2604205,Catende - PE,390075,2023,33086,26,PE,Nordeste,11789.72979507949,10.406865511166961,9.374984075124559
2604304,Cedro - PE,133554,2023,10843,26,PE,Nordeste,12317.070921331735,9.291274989472182,9.41874145892862
2604403,Chã de Alegria - PE,190273,2023,13496,26,PE,Nordeste,14098.473621813871,9.510148624225804,9.553821816734331
2604502,Chã Grande - PE,325129,2023,21258,26,PE,Nordeste,15294.430332110265,9.964488574093528,9.635244010524282
2604601,Condado - PE,294987,2023,25416,26,PE,Nordeste,11606.350330500472,10.143134175949353,9.359307669587118
2604700,Correntes - PE,211880,2023,17670,26,PE,Nordeste,11990.945104697226,9.779623565313742,9.391907069326859
2604809,Cortês - PE,147761,2023,10426,26,PE,Nordeste,14172.357567619412,9.252057965328051,9.559048696235763
2604908,Cumaru - PE,163890,2023,16215,26,PE,Nordeste,10107.308048103609,9.693692018741418,9.221014010298592
2605004,Cupira - PE,355809,2023,24343,26,PE,Nordeste,14616.481123937067,10.09999961284942,9.589905015136285
2605103,Custódia - PE,759609,2023,39609,26,PE,Nordeste,19177.68688934333,10.58681164414731,9.861502741026134
2605152,Dormentes - PE,311854,2023,17850,26,PE,Nordeste,17470.81232492997,9.789758787207784,9.768286900325853
2605202,Escada - PE,1582303,2023,62174,26,PE,Nordeste,25449.593077492198,11.03769218490736,10.144455032754268
2605301,Exu - PE,440315,2023,33486,26,PE,Nordeste,13149.226542435645,10.418882720016489,9.48411821781033
2605400,Feira Nova - PE,274542,2023,22222,26,PE,Nordeste,12354.51354513545,10.008838068143953,9.421776744530243
2605459,Fernando de Noronha - PE,304923,2023,3341,26,PE,Nordeste,91266.98593235559,8.114025442356757,11.421544401325393
2605509,Ferreiros - PE,171423,2023,15955,26,PE,Nordeste,10744.155437167032,9.677527538712344,9.282117205444573
