country_code,country_name,income_group,year,MUQ_raw,MUQ_ma5,urban_pct
RWA,Rwanda,LI,1989,,,5.19988344427648
RWA,Rwanda,LI,1990,11.843996935949331,9.117614649886283,5.27494050180917
RWA,Rwanda,LI,1991,11.078034674278909,9.117614649886283,5.36287370946222
RWA,Rwanda,LI,1992,4.430812339430608,8.102731335662817,5.66334740292516
RWA,Rwanda,LI,1993,,7.653611529938438,6.4000266086375
RWA,Rwanda,LI,1994,5.058081392992422,6.512137148491614,7.48340913293057
RWA,Rwanda,LI,1995,10.04751771305181,10.412614353234023,8.81556593108499
RWA,Rwanda,LI,1996,,8.43263478854434,10.2985679583814
RWA,Rwanda,LI,1997,16.132243953657838,9.55748592039498,11.8344861701004
RWA,Rwanda,LI,1998,2.492696094475287,,13.3253915215227
RWA,Rwanda,LI,1999,,,14.6733549679289
RWA,Rwanda,LI,2000,,,15.7804474645996
RWA,Rwanda,LI,2001,,,16.5487399668155
RWA,Rwanda,LI,2002,,,16.8778847116752
RWA,Rwanda,LI,2003,19.538337916607443,14.359845477860048,16.8947432312369
RWA,Rwanda,LI,2004,10.199309728632905,14.359845477860048,16.9020099536792
RWA,Rwanda,LI,2005,13.3418887883398,14.235439200016621,16.9072114459454
RWA,Rwanda,LI,2006,,11.550673312822163,16.9110139245047
RWA,Rwanda,LI,2007,13.862220366486346,12.001127840885252,16.9140836058266
RWA,Rwanda,LI,2008,8.799274367829607,,16.9170867063804
RWA,Rwanda,LI,2009,,12.890787402802673,16.9206894426355
RWA,Rwanda,LI,2010,,11.94212325413857,16.9255580310614
RWA,Rwanda,LI,2011,16.01086747409207,,16.9323586881273
RWA,Rwanda,LI,2012,11.016227920494035,,16.9410248882148
RWA,Rwanda,LI,2013,,13.137764385819125,17.0742206053612
RWA,Rwanda,LI,2014,,10.590189438985073,17.5020716539756
RWA,Rwanda,LI,2015,12.386197762871271,,18.1953149858416
RWA,Rwanda,LI,2016,8.368142633589917,11.89167411882399,19.1213951786548
RWA,Rwanda,LI,2017,,10.589523602034058,20.2477568101111
RWA,Rwanda,LI,2018,14.920681960010786,9.99063221508832,21.5418444579064
RWA,Rwanda,LI,2019,6.683072051664264,,22.9711026997362
RWA,Rwanda,LI,2020,,,24.5029761132966
RWA,Rwanda,LI,2021,,,26.1049092762833
RWA,Rwanda,LI,2022,,,27.7806702737761
RWA,Rwanda,LI,2023,,,28.8555310645477
TUR,Turkey,UMI,1960,,,23.4345579338827
TUR,Turkey,UMI,1961,,,23.7514562697098
TUR,Turkey,UMI,1962,,,24.0833130624077
TUR,Turkey,UMI,1963,,,24.4553078110078
TUR,Turkey,UMI,1964,,,24.892620014542
TUR,Turkey,UMI,1965,,,25.4193410011757
TUR,Turkey,UMI,1966,,,26.0977040991082
TUR,Turkey,UMI,1967,,,27.0004184794099
TUR,Turkey,UMI,1968,,,28.0515225120533
TUR,Turkey,UMI,1969,,,29.1649120669196
